abilities,attack,base_total,capture_rate,defense,hp,name,sp_attack,sp_defense,speed,type1,generation,is_legendary,has_sturdy,has_swift_swim,has_keen_eye,has_chlorophyll,has_levitate
"['Blaze', 'Flash Fire']",64,405,45,58,58,Quilava,80,65,80,fire,2,0,0,0,0,0,0
"['Blaze', 'Flash Fire']",84,534,45,78,78,Typhlosion,109,85,100,fire,2,0,0,0,0,0,0
"['Torrent', 'Sheer Force']",65,314,45,64,50,Totodile,44,48,43,water,2,0,0,0,0,0,0
"['Torrent', 'Sheer Force']",80,405,45,80,65,Croconaw,59,63,58,water,2,0,0,0,0,0,0
"['Torrent', 'Sheer Force']",105,530,45,100,85,Feraligatr,79,83,78,water,2,0,0,0,0,0,0
"['Run Away', 'Keen Eye', 'Frisk']",46,215,255,34,35,Sentret,35,45,20,normal,2,0,0,0,1,0,0
"['Run Away', 'Keen Eye', 'Frisk']",76,415,90,64,85,Furret,45,55,90,normal,2,0,0,0,1,0,0
"['Insomnia', 'Keen Eye', 'Tinted Lens']",30,262,255,30,60,Hoothoot,36,56,50,normal,2,0,0,0,1,0,0
"['Insomnia', 'Keen Eye', 'Tinted Lens']",50,452,90,50,100,Noctowl,86,96,70,normal,2,0,0,0,1,0,0
"['Swarm', 'Early Bird', 'Rattled']",20,265,255,30,40,Ledyba,40,80,55,bug,2,0,0,0,0,0,0
"['Swarm', 'Early Bird', 'Iron Fist']",35,390,90,50,55,Ledian,55,110,85,bug,2,0,0,0,0,0,0
"['Swarm', 'Insomnia', 'Sniper']",60,250,255,40,40,Spinarak,40,40,30,bug,2,0,0,0,0,0,0
"['Swarm', 'Insomnia', 'Sniper']",90,400,90,70,70,Ariados,60,70,40,bug,2,0,0,0,0,0,0
"['Inner Focus', 'Infiltrator']",90,535,90,80,85,Crobat,70,80,130,poison,2,0,0,0,0,0,0
"['Volt Absorb', 'Illuminate', 'Water Absorb']",38,330,190,38,75,Chinchou,56,56,67,water,2,0,0,0,0,0,0
"['Volt Absorb', 'Illuminate', 'Water Absorb']",58,460,75,58,125,Lanturn,76,76,67,water,2,0,0,0,0,0,0
"['Static', 'Lightningrod']",40,205,190,15,20,Pichu,35,35,60,electric,2,0,0,0,0,0,0
"['Cute Charm', 'Magic Guard', 'Friend Guard']",25,218,150,28,50,Cleffa,45,55,15,fairy,2,0,0,0,0,0,0
"['Cute Charm', 'Competitive', 'Friend Guard']",30,210,170,15,90,Igglybuff,40,20,15,normal,2,0,0,0,0,0,0
"['Hustle', 'Serene Grace', 'Super Luck']",20,245,190,65,35,Togepi,40,65,20,fairy,2,0,0,0,0,0,0
"['Hustle', 'Serene Grace', 'Super Luck']",40,405,75,85,55,Togetic,80,105,40,fairy,2,0,0,0,0,0,0
"['Synchronize', 'Early Bird', 'Magic Bounce']",50,320,190,45,40,Natu,70,45,70,psychic,2,0,0,0,0,0,0
"['Synchronize', 'Early Bird', 'Magic Bounce']",75,470,75,70,65,Xatu,95,70,95,psychic,2,0,0,0,0,0,0
"['Static', 'Plus']",40,280,235,40,55,Mareep,65,45,35,electric,2,0,0,0,0,0,0
"['Static', 'Plus']",55,365,120,55,70,Flaaffy,80,60,45,electric,2,0,0,0,0,0,0
"['Static', 'Plus']",95,610,45,105,90,Ampharos,165,110,45,electric,2,0,0,0,0,0,0
"['Chlorophyll', 'Healer']",80,490,45,95,75,Bellossom,90,100,50,grass,2,0,0,0,0,1,0
"['Thick Fat', 'Huge Power', 'Sap Sipper']",20,250,190,50,70,Marill,20,50,40,water,2,0,0,0,0,0,0
"['Thick Fat', 'Huge Power', 'Sap Sipper']",50,420,75,80,100,Azumarill,60,80,50,water,2,0,0,0,0,0,0
"['Sturdy', 'Rock Head', 'Rattled']",100,410,65,115,70,Sudowoodo,30,65,30,rock,2,0,1,0,0,0,0
"['Water Absorb', 'Damp', 'Drizzle']",75,500,45,75,90,Politoed,90,100,70,water,2,0,0,0,0,0,0
"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",35,250,255,40,35,Hoppip,35,55,50,grass,2,0,0,0,0,1,0
"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",45,340,120,50,55,Skiploom,45,65,80,grass,2,0,0,0,0,1,0
"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",55,460,45,70,75,Jumpluff,55,95,110,grass,2,0,0,0,0,1,0
"['Run Away', 'Pickup', 'Skill Link']",70,360,45,55,55,Aipom,40,55,85,normal,2,0,0,0,0,0,0
"['Chlorophyll', 'Solar Power', 'Early Bird']",30,180,235,30,30,Sunkern,30,30,30,grass,2,0,0,0,0,1,0
"['Chlorophyll', 'Solar Power', 'Early Bird']",75,425,120,55,75,Sunflora,105,85,30,grass,2,0,0,0,0,1,0
"['Speed Boost', 'Compoundeyes', 'Frisk']",65,390,75,45,65,Yanma,75,45,95,bug,2,0,0,0,0,0,0
"['Damp', 'Water Absorb', 'Unaware']",45,210,255,45,55,Wooper,25,25,15,water,2,0,0,0,0,0,0
"['Damp', 'Water Absorb', 'Unaware']",85,430,90,85,95,Quagsire,65,65,35,water,2,0,0,0,0,0,0
"['Synchronize', 'Magic Bounce']",65,525,45,60,65,Espeon,130,95,110,psychic,2,0,0,0,0,0,0
"['Synchronize', 'Inner Focus']",65,525,45,110,95,Umbreon,60,130,65,dark,2,0,0,0,0,0,0
"['Insomnia', 'Super Luck', 'Prankster']",85,405,30,42,60,Murkrow,85,42,91,dark,2,0,0,0,0,0,0
"['Oblivious', 'Own Tempo', 'Regenerator']",75,490,70,80,95,Slowking,100,110,30,water,2,0,0,0,0,0,0
['Levitate'],60,435,45,60,60,Misdreavus,85,85,85,ghost,2,0,0,0,0,0,1
['Levitate'],72,336,225,48,48,Unown,72,48,48,psychic,2,0,0,0,0,0,1
"['Shadow Tag', 'Telepathy']",33,405,45,58,190,Wobbuffet,33,58,33,psychic,2,0,0,0,0,0,0
"['Inner Focus', 'Early Bird', 'Sap Sipper']",80,455,60,65,70,Girafarig,90,65,85,normal,2,0,0,0,0,0,0
"['Sturdy', 'Overcoat']",65,290,190,90,50,Pineco,35,35,15,bug,2,0,1,0,0,0,0
"['Sturdy', 'Overcoat']",90,465,75,140,75,Forretress,60,60,40,bug,2,0,1,0,0,0,0
"['Serene Grace', 'Run Away', 'Rattled']",70,415,190,70,100,Dunsparce,65,65,45,normal,2,0,0,0,0,0,0
"['Hyper Cutter', 'Sand Veil', 'Immunity']",75,430,60,105,65,Gligar,35,65,85,ground,2,0,0,0,0,0,0
"['Rock Head', 'Sturdy', 'Sheer Force']",125,610,25,230,75,Steelix,55,95,30,steel,2,0,1,0,0,0,0
"['Intimidate', 'Run Away', 'Rattled']",80,300,190,50,60,Snubbull,40,40,30,fairy,2,0,0,0,0,0,0
"['Intimidate', 'Quick Feet', 'Rattled']",120,450,75,75,90,Granbull,60,60,45,fairy,2,0,0,0,0,0,0
"['Poison Point', 'Swift Swim', 'Intimidate']",95,440,45,85,65,Qwilfish,55,55,85,water,2,0,0,1,0,0,0
"['Swarm', 'Technician', 'Light Metal']",150,600,25,140,70,Scizor,65,100,75,bug,2,0,0,0,0,0,0
"['Sturdy', 'Gluttony', 'Contrary']",10,505,190,230,20,Shuckle,10,230,5,bug,2,0,1,0,0,0,0
"['Swarm', 'Guts', 'Moxie']",185,600,45,115,80,Heracross,40,105,75,bug,2,0,0,0,0,0,0
"['Inner Focus', 'Keen Eye', 'Pickpocket']",95,430,60,55,55,Sneasel,35,75,115,dark,2,0,0,0,1,0,0
"['Pickup', 'Quick Feet', 'Honey Gather']",80,330,120,50,60,Teddiursa,50,50,40,normal,2,0,0,0,0,0,0
"['Guts', 'Quick Feet', 'Unnerve']",130,500,60,75,90,Ursaring,75,75,55,normal,2,0,0,0,0,0,0
"['Magma Armor', 'Flame Body', 'Weak Armor']",40,250,190,40,40,Slugma,70,40,20,fire,2,0,0,0,0,0,0
"['Magma Armor', 'Flame Body', 'Weak Armor']",50,430,75,120,60,Magcargo,90,80,30,fire,2,0,0,0,0,0,0
